"county_name","Most_Disp_Indicator","Lowest_Performing_Indicator"
"Santa Cruz","Santa Cruz County's high racial disparity in Housing Quality stands out most compared to other counties.","Santa Cruz County's low overall performance in Renter Cost Burden stands out most compared to other counties."
"Shasta","Shasta County's high racial disparity in Usual Source of Care stands out most compared to other counties.","Shasta County's low overall performance in Arrests for Status Offenses stands out most compared to other counties."
"Sierra","Sierra County's high racial disparity in Diversity of Electeds stands out most compared to other counties.","Sierra County's low overall performance in Student Homelessness stands out most compared to other counties."
"Siskiyou","Siskiyou County's high racial disparity in Toxic Releases from Facilities and Foreclosures stand out most compared to other counties.","Siskiyou County's low overall performance in Use of Force stands out most compared to other counties."
"Solano","Solano County's high racial disparity in Diversity of Candidates stands out most compared to other counties.","Solano County's low overall performance in Asthma stands out most compared to other counties."
"Sonoma","Sonoma County's high racial disparity in Food Access stands out most compared to other counties.","Sonoma County's low overall performance in Asthma stands out most compared to other counties."
"Stanislaus","Stanislaus County's high racial disparity in Voting in Presidential Elections stands out most compared to other counties.","Stanislaus County's low overall performance in Drinking Water Contaminants stands out most compared to other counties."
"Sutter","Sutter County's high racial disparity in Preventable Hospitalizations stands out most compared to other counties.","Sutter County's low overall performance in Drinking Water Contaminants stands out most compared to other counties."
"Tehama","Tehama County's high racial disparity in Denied Mortgages stands out most compared to other counties.","Tehama County's low overall performance in Use of Force stands out most compared to other counties."
"Trinity","Trinity County's high racial disparity in Internet Access and Proximity to Hazards stand out most compared to other counties.","Trinity County's low overall performance in Internet Access stands out most compared to other counties."
"Tulare","Tulare County's high racial disparity in Voting in Midterm Elections stands out most compared to other counties.","Tulare County's low overall performance in Subprime Mortgages stands out most compared to other counties."
"Tuolumne","Tuolumne County's high racial disparity in Denied Mortgages stands out most compared to other counties.","Tuolumne County's low overall performance in Suspensions stands out most compared to other counties."
"Ventura","Ventura County's high racial disparity in Housing Quality stands out most compared to other counties.","Ventura County's low overall performance in Housing Quality stands out most compared to other counties."
"Yolo","Yolo County's high racial disparity in Incarceration stands out most compared to other counties.","Yolo County's low overall performance in Homeownership stands out most compared to other counties."
"Yuba","Yuba County's high racial disparity in Subprime Mortgages stands out most compared to other counties.","Yuba County's low overall performance in Incarceration stands out most compared to other counties."
